# Flutter analyzer baseline
# Generated by `dart run tool/analyze_with_baseline.dart --update-baseline`
# One issue per line: level|code|path|line|column|message
info|constant_identifier_names|lib/core/common/network/connect.dart|48|20|The constant name 'MAX_SUBSCRIPTIONS_COUNT' isn't a lowerCamelCase identifier
info|file_names|lib/core/account/account+follows.dart|1|1|The file name 'account+follows.dart' isn't a lower_case_with_underscores identifier
info|file_names|lib/core/account/account+nip46.dart|1|1|The file name 'account+nip46.dart' isn't a lower_case_with_underscores identifier
info|file_names|lib/core/account/account+profile.dart|1|1|The file name 'account+profile.dart' isn't a lower_case_with_underscores identifier
info|file_names|lib/core/account/account+relay.dart|1|1|The file name 'account+relay.dart' isn't a lower_case_with_underscores identifier
info|file_names|lib/core/account/model/relayDB_isar.dart|1|1|The file name 'relayDB_isar.dart' isn't a lower_case_with_underscores identifier
info|file_names|lib/core/account/model/relayDB_isar.g.dart|1|1|The file name 'relayDB_isar.dart' isn't a lower_case_with_underscores identifier
info|file_names|lib/core/account/model/userDB_isar.dart|1|1|The file name 'userDB_isar.dart' isn't a lower_case_with_underscores identifier
info|file_names|lib/core/account/model/userDB_isar.g.dart|1|1|The file name 'userDB_isar.dart' isn't a lower_case_with_underscores identifier
info|file_names|lib/core/call/contacts/contacts+blocklist.dart|1|1|The file name 'contacts+blocklist.dart' isn't a lower_case_with_underscores identifier
info|file_names|lib/core/call/contacts/contacts+calling.dart|1|1|The file name 'contacts+calling.dart' isn't a lower_case_with_underscores identifier
info|file_names|lib/core/call/contacts/contacts+isolateEvent.dart|1|1|The file name 'contacts+isolateEvent.dart' isn't a lower_case_with_underscores identifier
info|file_names|lib/core/call/messages/model/messageDB_isar.dart|1|1|The file name 'messageDB_isar.dart' isn't a lower_case_with_underscores identifier
info|file_names|lib/core/call/messages/model/messageDB_isar.g.dart|1|1|The file name 'messageDB_isar.dart' isn't a lower_case_with_underscores identifier
info|file_names|lib/core/common/network/eventDB_isar.dart|1|1|The file name 'eventDB_isar.dart' isn't a lower_case_with_underscores identifier
info|file_names|lib/core/common/network/eventDB_isar.g.dart|1|1|The file name 'eventDB_isar.dart' isn't a lower_case_with_underscores identifier
info|file_names|test/unit/core/account/account+relay_test.dart|1|1|The file name 'account+relay_test.dart' isn't a lower_case_with_underscores identifier
info|library_prefixes|lib/call/call_kit_manager.dart|6|44|The prefix 'ChatCore' isn't a lower_case_with_underscores identifier
info|library_prefixes|lib/call_history/widget/recent_calls_page.dart|10|55|The prefix 'ChatCore' isn't a lower_case_with_underscores identifier
info|library_prefixes|lib/component/contact_list_tile.dart|3|55|The prefix 'ChatCore' isn't a lower_case_with_underscores identifier
info|library_prefixes|lib/contacts/pages/contact_select_page.dart|3|55|The prefix 'ChatCore' isn't a lower_case_with_underscores identifier
info|library_private_types_in_public_api|lib/contacts/contact_navigator.dart|134|9|Invalid use of a private type in a public API
info|library_private_types_in_public_api|lib/contacts/contact_navigator.dart|138|19|Invalid use of a private type in a public API
info|library_private_types_in_public_api|lib/contacts/contact_navigator.dart|142|10|Invalid use of a private type in a public API
info|non_constant_identifier_names|lib/core/account/account.dart|45|10|The variable name 'NIP46Subscription' isn't a lowerCamelCase identifier
info|prefer_typing_uninitialized_variables|lib/core/call/contacts/contacts+isolateEvent.dart|151|9|An uninitialized variable should have an explicit type annotation
info|prefer_typing_uninitialized_variables|lib/core/call/contacts/contacts+isolateEvent.dart|182|9|An uninitialized variable should have an explicit type annotation
info|prefer_typing_uninitialized_variables|lib/core/call/contacts/contacts+isolateEvent.dart|25|9|An uninitialized variable should have an explicit type annotation
info|prefer_typing_uninitialized_variables|lib/core/call/contacts/contacts+isolateEvent.dart|54|9|An uninitialized variable should have an explicit type annotation
info|prefer_typing_uninitialized_variables|lib/core/call/contacts/contacts+isolateEvent.dart|84|9|An uninitialized variable should have an explicit type annotation
info|unnecessary_brace_in_string_interps|lib/contacts/contact_navigation_extension.dart|17|86|Unnecessary braces in a string interpolation
info|unrelated_type_equality_checks|test/unit/call/ice_server_model_test.dart|184|23|The type of the right operand ('String') isn't a subtype or a supertype of the left operand ('ICEServerModel')
warning|invalid_use_of_protected_member|lib/core/account/account+profile.dart|136|23|The member 'notifyListeners' can only be used within instance members of subclasses of 'package:flutter/src/foundation/change_notifier.dart'
warning|invalid_use_of_protected_member|lib/core/account/account.dart|492|26|The member 'notifyListeners' can only be used within instance members of subclasses of 'package:flutter/src/foundation/change_notifier.dart'
warning|invalid_use_of_protected_member|lib/core/common/database/db_isar.dart|196|39|The member 'getCollectionByNameInternal' can only be used within instance members of subclasses of 'package:isar/src/isar.dart'
warning|invalid_use_of_visible_for_testing_member|lib/core/account/account+profile.dart|136|23|The member 'notifyListeners' can only be used within 'package:flutter/src/foundation/change_notifier.dart' or a test
warning|invalid_use_of_visible_for_testing_member|lib/core/account/account.dart|492|26|The member 'notifyListeners' can only be used within 'package:flutter/src/foundation/change_notifier.dart' or a test
warning|must_be_immutable|lib/setting/widgets/keys_dialog.dart|8|7|This class (or a class that this class inherits from) is marked as '@immutable', but one or more of its instance fields aren't final: KeysDialog.theme
warning|unused_element|lib/auth/signin_page.dart|233|10|The declaration '_buildInfoContainer' isn't referenced
warning|unused_element|lib/auth/signup_page.dart|268|10|The declaration '_buildPrivateKeyInfo' isn't referenced
warning|unused_element|lib/auth/signup_page.dart|328|10|The declaration '_buildInfoContainer' isn't referenced
warning|unused_field|lib/core/common/database/db_isar.dart|42|18|The value of the field '_sharedEncKey' isn't used
